slot_index_zero_based,item_id_decimal,item_id_hex,slot_kind,pret_gen2_english_label,original_gs_korean,latest_korean,final_korean,name_changed,change_category,verification_status,source_agreement,canonical_identifier,canonical_english,pokeapi_korean,pkhex_korean,pkhex_item_index,original_encoded_length_bytes,latest_encoded_length_bytes,record_byte_delta_with_terminator,latest_encoded_hex,bank_hex,cpu_address_hex,file_offset_hex,original_raw_hex,original_gs_korean_description,description_cpu_address_hex
119,120,0x78,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x44C2,0x1B04C2,0b 67,?,0x51BD
120,121,0x79,NAMED_ITEM,ENERGYPOWDER,힘의 가루,힘의가루,힘의가루,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,energy-powder,Energy Powder,힘의가루,힘의가루,34,9,8,-1,0a fb 07 97 01 01 04 17,0x6C,0x44C5,0x1B04C5,0a fb 07 97 7f 01 01 04 17,체력을 50 회복시켜주는<NEXT>매우 쓴맛의 가루,0x51C0
121,122,0x7A,NAMED_ITEM,ENERGY ROOT,힘의 뿌리,힘의뿌리,힘의뿌리,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,energy-root,Energy Root,힘의뿌리,힘의뿌리,35,9,8,-1,0a fb 07 97 05 a1 04 3e,0x6C,0x44CF,0x1B04CF,0a fb 07 97 7f 05 a1 04 3e,체력을 200 회복시켜주는<NEXT>매우 쓴맛의 뿌리,0x51E8
122,123,0x7B,NAMED_ITEM,HEAL POWDER,만능가루,만능가루,만능가루,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,heal-powder,Heal Powder,만능가루,만능가루,36,8,8,0,04 48 02 c9 01 01 04 17,0x6C,0x44D9,0x1B04D9,04 48 02 c9 01 01 04 17,모든 상태이상을<NEXT>치료하지만 매우 맛이 쓰다,0x5211
123,124,0x7C,NAMED_ITEM,REVIVAL HERB,부활초,부활초,부활초,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,revival-herb,Revival Herb,부활초,부활초,37,6,6,0,05 2e 0a b0 08 ca,0x6C,0x44E2,0x1B04E2,05 2e 0a b0 08 ca,기절한 포켓몬을 회복<NEXT>시켜주지만 매우 맛이 쓰다,0x523B
124,125,0x7D,NAMED_ITEM,HARD STONE,딱딱한 돌,딱딱한돌,딱딱한돌,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,hard-stone,Hard Stone,딱딱한돌,딱딱한돌,238,9,8,-1,03 6c 03 6c 0a 71 03 19,0x6C,0x44E9,0x1B04E9,03 6c 03 6c 0a 71 7f 03 19,지니게 하면 바위타입의<NEXT>기술의 위력이 올라간다,0x526A
125,126,0x7E,NAMED_ITEM,LUCKY EGG,행복의 알,행복의알,행복의알,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,lucky-egg,Lucky Egg,행복의알,행복의알,231,9,8,-1,0a 80 05 19 07 97 06 cb,0x6C,0x44F3,0x1B04F3,0a 80 05 19 07 97 7f 06 cb,지니고 있는 포켓몬은 경험치를<NEXT>약간 많이 얻을 수 있다,0x5298
126,127,0x7F,NAMED_ITEM,CARD KEY,카드키,카드키,카드키,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,card-key,Card Key,카드키,카드키,475,6,6,0,09 0b 03 45 09 80,0x6C,0x44FD,0x1B04FD,09 0b 03 45 09 80,라디오 방송국의 셔터를<NEXT>올릴 수 있다,0x52CD
127,128,0x80,NAMED_ITEM,MACHINE PART,기계부품,기계부품,기계부품,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,machine-part,Machine Part,기계부품,기계부품,481,8,8,0,01 b2 01 48 05 2e 0a 40,0x6C,0x4504,0x1B0504,01 b2 01 48 05 2e 0a 40,발전소의 기계부품,0x52F1
128,129,0x81,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x450D,0x1B050D,0b 67,?,0x5303
129,130,0x82,NAMED_ITEM,LOST ITEM,분실물,분실물,분실물,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,lost-item,Lost Item,분실물,분실물,479,6,6,0,05 30 06 67 04 b0,0x6C,0x4510,0x1B0510,05 30 06 67 04 b0,흉내내기 아가씨가 잃어버린<NEXT>삐삐인형,0x5306
130,131,0x83,NAMED_ITEM,STARDUST,별의 모래,별의모래,별의모래,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,stardust,Stardust,별의모래,별의모래,90,9,8,-1,05 10 07 97 04 90 03 d1,0x6C,0x4517,0x1B0517,05 10 07 97 7f 04 90 03 d1,빨갛고 아름다운 모래<NEXT>비싸게 팔린다,0x532A
131,132,0x84,NAMED_ITEM,STAR PIECE,별의 조각,별의조각,별의조각,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,star-piece,Star Piece,별의조각,별의조각,91,9,8,-1,05 10 07 97 07 e6 01 02,0x6C,0x4521,0x1B0521,05 10 07 97 7f 07 e6 01 02,빨갛고 아름다운 보석조각<NEXT>매우 비싸게 팔린다,0x534D
132,133,0x85,NAMED_ITEM,BASEMENT KEY,지하의 열쇠,지하의열쇠,지하의열쇠,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,basement-key,Basement Key,지하의열쇠,지하의열쇠,476,11,10,-1,08 26 0a 6f 07 97 07 0d 06 18,0x6C,0x452B,0x1B052B,08 26 0a 6f 07 97 7f 07 0d 06 18,문을 여는 열쇠,0x5379
133,134,0x86,NAMED_ITEM,PASS,정기권,리니어패스,리니어패스,True,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,pass,Pass,리니어패스,리니어패스,480,6,10,4,04 3e 02 cf 06 ee 0a 00 06 4a,0x6C,0x4537,0x1B0537,07 d4 01 b2 01 97,리니어 기차에 승차할 수 있다,0x5388
134,135,0x87,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x453E,0x1B053E,0b 67,?,0x53A5
135,136,0x88,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x4541,0x1B0541,0b 67,?,0x53A8
136,137,0x89,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x4544,0x1B0544,0b 67,?,0x53AB
137,138,0x8A,NAMED_ITEM,CHARCOAL,목탄,목탄,목탄,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,charcoal,Charcoal,목탄,목탄,249,4,4,0,04 91 09 8a,0x6C,0x4547,0x1B0547,04 91 09 8a,지니게 하면 화염타입의<NEXT>기술의 위력이 올라간다,0x53AE
138,139,0x8B,NAMED_ITEM,BERRY JUICE,나무열매쥬스,나무열매쥬스,나무열매쥬스,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,berry-juice,Berry Juice,나무열매쥬스,나무열매쥬스,43,12,12,0,02 3a 04 ab 07 0d 04 65 08 1a 06 4a,0x6C,0x454C,0x1B054C,02 3a 04 ab 07 0d 04 65 08 1a 06 4a,나무열매로부터 만들어진 쥬스<NEXT>체력을 20 회복시켜준다,0x53DC
139,140,0x8C,NAMED_ITEM,SCOPE LENS,초점 렌즈,초점렌즈,초점렌즈,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,scope-lens,Scope Lens,초점렌즈,초점렌즈,232,9,8,-1,08 ca 07 d1 03 eb 08 1e,0x6C,0x4559,0x1B0559,08 ca 07 d1 7f 03 eb 08 1e,지니게 하면 급소에<NEXT>명중하기 쉽게된다,0x5410
140,141,0x8D,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x4563,0x1B0563,0b 67,?,0x5435
141,142,0x8E,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x4566,0x1B0566,0b 67,?,0x5438
142,143,0x8F,NAMED_ITEM,METAL COAT,금속코트,금속코트,금속코트,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,metal-coat,Metal Coat,금속코트,금속코트,233,8,8,0,01 ad 06 03 09 3a 09 de,0x6C,0x4569,0x1B0569,01 ad 06 03 09 3a 09 de,지니게 하면 강철타입의<NEXT>기술의 위력이 올라간다,0x543B
143,144,0x90,NAMED_ITEM,DRAGON FANG,용의 이빨,용의이빨,용의이빨,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,dragon-fang,Dragon Fang,용의이빨,용의이빨,250,9,8,-1,07 4b 07 97 07 9c 05 71,0x6C,0x4572,0x1B0572,07 4b 07 97 7f 07 9c 05 71,지니게 하면 드래곤타입의 <NEXT>기술의 위력이 올라간다,0x5469
144,145,0x91,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x457C,0x1B057C,0b 67,?,0x549A
145,146,0x92,NAMED_ITEM,LEFTOVERS,먹다 남은 음식,먹다남은음식,먹다남은음식,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,leftovers,Leftovers,먹다남은음식,먹다남은음식,234,14,12,-2,04 74 02 d9 02 42 07 8a 07 8d 06 64,0x6C,0x457F,0x1B057F,04 74 02 d9 7f 02 42 07 8a 7f 07 8d 06 64,지니게 하면 전투중에<NEXT>체력이 조금씩 회복된다,0x549D
146,147,0x93,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x458E,0x1B058E,0b 67,?,0x54C9
147,148,0x94,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x4591,0x1B0591,0b 67,?,0x54CC
148,149,0x95,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x4594,0x1B0594,0b 67,?,0x54CF
149,150,0x96,NAMED_ITEM,MYSTERYBERRY,이상한 나무열매,과사열매,과사열매,True,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,leppa-berry,Leppa Berry,과사열매,과사열매,154,15,8,-7,01 6a 05 b7 07 0d 04 65,0x6C,0x4597,0x1B0597,07 9c 05 c3 0a 71 7f 02 3a 04 ab 07 0d 04 65,지니게 하면 전투중에 자신이<NEXT>기술포인트를 회복시킨다,0x54D2
150,151,0x97,NAMED_ITEM,DRAGON SCALE,용의 비늘,용의비늘,용의비늘,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,dragon-scale,Dragon Scale,용의비늘,용의비늘,235,9,8,-1,07 4b 07 97 05 61 02 c3,0x6C,0x45A7,0x1B05A7,07 4b 07 97 7f 05 61 02 c3,드래곤타입의 포켓몬이<NEXT>가끔 들고있는 신비한 비늘,0x5506
151,152,0x98,NAMED_ITEM,BERSERK GENE,파괴의 유전자,파괴의 유전자,파괴의 유전자,False,UNCHANGED,LEGACY_OFFICIAL_GS_KOREAN_RETAINED,NO_CURRENT_MIRROR_ROW,,,,,,13,13,0,09 f4 01 7b 07 97 7f 07 7f 07 cc 07 aa,0x6C,0x45B1,0x1B05B1,09 f4 01 7b 07 97 7f 07 7f 07 cc 07 aa,공격력이 팍 올라가지만<NEXT>혼란상태가 되어버린다,0x5536
152,153,0x99,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x45BF,0x1B05BF,0b 67,?,0x5563
153,154,0x9A,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x45C2,0x1B05C2,0b 67,?,0x5566
154,155,0x9B,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x45C5,0x1B05C5,0b 67,?,0x5569
155,156,0x9C,NAMED_ITEM,SACRED ASH,성스러운 분말,성스러운분말,성스러운분말,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,sacred-ash,Sacred Ash,성스러운분말,성스러운분말,44,13,12,-1,05 ea 06 4a 03 df 07 4e 05 30 04 4b,0x6C,0x45C8,0x1B05C8,05 ea 06 4a 03 df 07 4e 7f 05 30 04 4b,기절한 모든 포켓몬을<NEXT>정상적인 상태로 만들어준다,0x556C
156,157,0x9D,NAMED_ITEM,HEAVY BALL,헤비볼,헤비볼,헤비볼,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,heavy-ball,Heavy Ball,헤비볼,헤비볼,495,6,6,0,0a 8c 05 61 05 1c,0x6C,0x45D6,0x1B05D6,0a 8c 05 61 05 1c,체중이 많이 나가는 포켓몬을<NEXT>잡기 쉬운 볼,0x559C
157,158,0x9E,NAMED_ITEM,FLOWER MAIL,꽃무늬 메일,꽃무늬메일,꽃무늬메일,True,SPACING_NORMALIZATION,PROJECT_ORTHOGRAPHY_NORMALIZATION,NO_CURRENT_MIRROR_ROW,,,,,,11,10,-1,01 f9 04 ab 02 cc 04 7e 07 9f,0x6C,0x45DD,0x1B05DD,01 f9 04 ab 02 cc 7f 04 7e 07 9f,꽃무늬 모양의 편지지<NEXT>쓴 메일을 포켓몬에게 지니게 한다,0x55C5
158,159,0x9F,NAMED_ITEM,LEVEL BALL,레벨볼,레벨볼,레벨볼,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,level-ball,Level Ball,레벨볼,레벨볼,493,6,6,0,03 e9 05 07 05 1c,0x6C,0x45E9,0x1B05E9,03 e9 05 07 05 1c,자신의 포켓몬보다 상대의<NEXT>레벨이 낮을수록 잡기쉽다,0x55FB
159,160,0xA0,NAMED_ITEM,LURE BALL,루어볼,루어볼,루어볼,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,lure-ball,Lure Ball,루어볼,루어볼,494,6,6,0,04 17 06 ee 05 1c,0x6C,0x45F0,0x1B05F0,04 17 06 ee 05 1c,낚아올린 포켓몬이라면<NEXT>잡기 쉽게되는 볼,0x562D
160,161,0xA1,NAMED_ITEM,FAST BALL,스피드볼,스피드볼,스피드볼,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,fast-ball,Fast Ball,스피드볼,스피드볼,492,8,8,0,06 4a 0a 67 03 45 05 1c,0x6C,0x45F7,0x1B05F7,06 4a 0a 67 03 45 05 1c,도망치는 발걸음이 빠른 포켓몬을<NEXT>잡기 쉬운 볼,0x5654
161,162,0xA2,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x4600,0x1B0600,0b 67,?,0x5681
162,163,0xA3,NAMED_ITEM,LIGHT BALL,전기구슬,전기구슬,전기구슬,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,light-ball,Light Ball,전기구슬,전기구슬,236,8,8,0,07 cc 01 b2 01 88 06 4d,0x6C,0x4603,0x1B0603,07 cc 01 b2 01 88 06 4d,찌릿찌릿 하고있는 이상한 구슬,0x5684
163,164,0xA4,NAMED_ITEM,FRIEND BALL,프랜드볼,프렌드볼,프렌드볼,True,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,friend-ball,Friend Ball,프렌드볼,프렌드볼,497,8,8,0,0a 61 03 eb 03 45 05 1c,0x6C,0x460C,0x1B060C,0a 61 03 d3 03 45 05 1c,잡힌 포켓몬이<NEXT>잘 따르게 된다,0x56A2
164,165,0xA5,NAMED_ITEM,MOON BALL,문볼,문볼,문볼,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,moon-ball,Moon Ball,문볼,문볼,498,4,4,0,04 ae 05 1c,0x6C,0x4615,0x1B0615,04 ae 05 1c,달맞이 돌로 진화하는<NEXT>포켓몬을 잡기 쉽다,0x56BF
165,166,0xA6,NAMED_ITEM,LOVE BALL,러브러브볼,러브러브볼,러브러브볼,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,love-ball,Love Ball,러브러브볼,러브러브볼,496,10,10,0,03 df 05 4a 03 df 05 4a 05 1c,0x6C,0x461A,0x1B061A,03 df 05 4a 03 df 05 4a 05 1c,자신의 포켓몬의 성별과<NEXT>다른 때는 잡기 쉽다,0x56E7
166,167,0xA7,NAMED_ITEM,NORMAL BOX,나무상자,나무상자,나무상자,False,UNCHANGED,LEGACY_OFFICIAL_GS_KOREAN_RETAINED,NO_CURRENT_MIRROR_ROW,,,,,,8,8,0,02 3a 04 ab 05 c3 07 aa,0x6C,0x4625,0x1B0625,02 3a 04 ab 05 c3 07 aa,열어보자,0x5712
167,168,0xA8,NAMED_ITEM,GORGEOUS BOX,오동나무상자,오동나무상자,오동나무상자,False,UNCHANGED,LEGACY_OFFICIAL_GS_KOREAN_RETAINED,NO_CURRENT_MIRROR_ROW,,,,,,12,12,0,07 20 03 1f 02 3a 04 ab 05 c3 07 aa,0x6C,0x462E,0x1B062E,07 20 03 1f 02 3a 04 ab 05 c3 07 aa,열어보자,0x571B
168,169,0xA9,NAMED_ITEM,SUN STONE,태양의 돌,태양의돌,태양의돌,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,sun-stone,Sun Stone,태양의돌,태양의돌,80,9,8,-1,09 92 06 e7 07 97 03 19,0x6C,0x463B,0x1B063B,09 92 06 e7 07 97 7f 03 19,특정 포켓몬을 진화시킨다,0x5724
169,170,0xAA,NAMED_ITEM,POLKADOT BOW,물방울 리본,물방울무늬 리본,물방울무늬 리본,True,NEW_TRANSLATION,NEW_TRANSLATION_NO_CURRENT_OFFICIAL_ROW,NO_CURRENT_MIRROR_ROW,,,,,,11,15,4,04 b0 04 e6 07 4f 04 ab 02 cc 7f 04 3e 05 1b,0x6C,0x4645,0x1B0645,04 b0 04 e6 07 4f 7f 04 3e 05 1b,지니게 하면 노말타입의<NEXT>기술의 위력이 올라간다,0x573D
170,171,0xAB,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x4651,0x1B0651,0b 67,?,0x576B
171,172,0xAC,NAMED_ITEM,UP-GRADE,업그레이드,업그레이드,업그레이드,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,up-grade,Upgrade,업그레이드,업그레이드,252,10,10,0,06 f7 01 a7 03 e9 07 9c 03 45,0x6C,0x4654,0x1B0654,06 f7 01 a7 03 e9 07 9c 03 45,이상한 상자<NEXT>실프주식회사 제품,0x576E
172,173,0xAD,NAMED_ITEM,BERRY,나무열매,오랭열매,오랭열매,True,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,oran-berry,Oran Berry,오랭열매,오랭열매,155,8,8,0,07 20 03 d9 07 0d 04 65,0x6C,0x465F,0x1B065F,02 3a 04 ab 07 0d 04 65,지니게 하면 자신이<NEXT>체력을 10 회복시킨다,0x578C
173,174,0xAE,NAMED_ITEM,GOLD BERRY,황금열매,자뭉열매,자뭉열매,True,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,sitrus-berry,Sitrus Berry,자뭉열매,자뭉열매,158,8,8,0,07 aa 04 b6 07 0d 04 65,0x6C,0x4668,0x1B0668,0a b2 01 ad 07 0d 04 65,지니게 하면 자신이<NEXT>체력을 30 회복시킨다,0x57B4
174,175,0xAF,NAMED_ITEM,SQUIRTBOTTLE,꼬부기 물뿌리개,꼬부기물뿌리개,꼬부기물뿌리개,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,squirt-bottle,Squirt Bottle,꼬부기물뿌리개,꼬부기물뿌리개,477,15,14,-1,01 ef 05 2e 01 b2 04 b0 05 a1 04 3e 01 13,0x6C,0x4671,0x1B0671,01 ef 05 2e 01 b2 7f 04 b0 05 a1 04 3e 01 13,꼬부기 모양의 물뿌리개<NEXT>초목에 물을 주기 위한 도구,0x57DC
175,176,0xB0,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x4681,0x1B0681,0b 67,?,0x580E
176,177,0xB1,NAMED_ITEM,PARK BALL,파크볼,파크볼,파크볼,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,park-ball,Park Ball,파크볼,파크볼,500,6,6,0,09 f4 09 79 05 1c,0x6C,0x4684,0x1B0684,09 f4 09 79 05 1c,곤충채집 대회에서 사용되는<NEXT>포켓몬을 잡는 볼,0x5811
177,178,0xB2,NAMED_ITEM,RAINBOW WING,무지개빛 날개,무지갯빛깃털,무지갯빛깃털,True,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,rainbow-wing,Rainbow Wing,무지갯빛깃털,무지갯빛깃털,483,13,12,-1,04 ab 08 26 01 19 05 6b 01 ba 09 a0,0x6C,0x468B,0x1B068B,04 ab 08 26 01 13 05 6b 7f 02 3f 01 13,무지개빛으로 빛나는<NEXT>신비한 날개,0x583D
178,179,0xB3,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x4699,0x1B0699,0b 67,?,0x585D
179,180,0xB4,NAMED_ITEM,BRICK PIECE,기와조각,기와조각,기와조각,False,UNCHANGED,PROJECT_ORTHOGRAPHY_NORMALIZATION,NO_CURRENT_MIRROR_ROW,,,,,,8,8,0,01 b2 07 2d 07 e6 01 02,0x6C,0x469C,0x1B069C,01 b2 07 2d 07 e6 01 02,깨진 기와조각,0x5860
180,181,0xB5,NAMED_ITEM,SURF MAIL,파도타기 메일,파도타기메일,파도타기메일,True,SPACING_NORMALIZATION,PROJECT_ORTHOGRAPHY_NORMALIZATION,NO_CURRENT_MIRROR_ROW,,,,,,13,12,-1,09 f4 03 15 09 88 01 b2 04 7e 07 9f,0x6C,0x46A5,0x1B06A5,09 f4 03 15 09 88 01 b2 7f 04 7e 07 9f,라프라스의 편지지<NEXT>쓴 메일을 포켓몬에게 지니게 한다,0x586E
181,182,0xB6,NAMED_ITEM,LITEBLUEMAIL,옥빛 메일,옥빛메일,옥빛메일,True,SPACING_NORMALIZATION,PROJECT_ORTHOGRAPHY_NORMALIZATION,NO_CURRENT_MIRROR_ROW,,,,,,9,8,-1,07 21 05 6b 04 7e 07 9f,0x6C,0x46B3,0x1B06B3,07 21 05 6b 7f 04 7e 07 9f,미뇽의 편지지<NEXT>쓴 메일을 포켓몬에게 지니게 한다,0x58A1
182,183,0xB7,NAMED_ITEM,PORTRAITMAIL,초상화 메일,초상화메일,초상화메일,True,SPACING_NORMALIZATION,PROJECT_ORTHOGRAPHY_NORMALIZATION,NO_CURRENT_MIRROR_ROW,,,,,,11,10,-1,08 ca 05 c3 0a ad 04 7e 07 9f,0x6C,0x46BD,0x1B06BD,08 ca 05 c3 0a ad 7f 04 7e 07 9f,지니게 한 포켓몬이 프린트되어진다<NEXT>쓴 메일을 포켓몬에게 지니게 한다,0x58D0
183,184,0xB8,NAMED_ITEM,LOVELY MAIL,러브리 메일,러브리메일,러브리메일,True,SPACING_NORMALIZATION,PROJECT_ORTHOGRAPHY_NORMALIZATION,NO_CURRENT_MIRROR_ROW,,,,,,11,10,-1,03 df 05 4a 04 3e 04 7e 07 9f,0x6C,0x46C9,0x1B06C9,03 df 05 4a 04 3e 7f 04 7e 07 9f,하트마크의 귀여운 편지지<NEXT>쓴 메일을 포켓몬에게 지니게 한다,0x5913
184,185,0xB9,NAMED_ITEM,EON MAIL,브이브이 메일,브이브이메일,브이브이메일,True,SPACING_NORMALIZATION,PROJECT_ORTHOGRAPHY_NORMALIZATION,NO_CURRENT_MIRROR_ROW,,,,,,13,12,-1,05 4a 07 9c 05 4a 07 9c 04 7e 07 9f,0x6C,0x46D5,0x1B06D5,05 4a 07 9c 05 4a 07 9c 7f 04 7e 07 9f,이브이의 실루엣 편지지<NEXT>쓴 메일을 포켓몬에게 지니게 한다,0x594D
